,id,hours,start,finish,rest,rosDay,rosLine
0,OFF,,,,False,1,1
0,OFF,,,,False,2,1
0,SPER109,5:50,06:59:00,12:49:00,False,3,1
0,SPEX112,6:04,06:00:00,12:04:00,True,4,1
0,SPE130,6:46,04:59:00,11:45:00,False,5,1
0,SPE130,6:46,04:59:00,11:45:00,False,6,1
0,SPE187,6:06,06:24:00,12:30:00,False,7,1
0,SPE103,6:00,06:24:00,12:24:00,False,8,1
0,SPE145,9:32,06:31:00,16:03:00,False,9,1
0,OFF,,,,False,10,1
0,OFF,,,,False,11,1
0,SPE160,8:51,13:30:00,22:21:00,False,12,1
0,SPE160,8:51,13:30:00,22:21:00,False,13,1
0,SPE203,7:28,13:50:00,21:18:00,False,14,1
0,SPE120,:39,14:42:00,22:21:00,False,15,1
0,SPE162,7:31,14:22:00,21:53:00,False,16,1
0,SPE166,7:59,15:21:00,23:20:00,False,17,1
0,SPE166,7:59,15:21:00,23:20:00,False,18,1
0,EDO,,,,False,19,1
0,OFF,,,,False,20,1
0,OFF,,,,False,21,1
0,OFF,,,,False,22,1
0,SPE142,7:14,06:19:00,13:33:00,False,23,1
0,SPE142,7:14,06:19:00,13:33:00,False,24,1
0,SPE141,8:06,06:07:00,14:13:00,False,25,1
0,SPE141,8:06,06:07:00,14:13:00,False,26,1
0,SPE134,6:47,05:31:00,12:18:00,False,27,1
0,OFF,,,,False,28,1
0,OFF,,,,False,1,2
0,SPER110,5:47,17:28:00,23:15:00,False,2,2
0,SPEX114,6:32,13:05:00,19:37:00,True,3,2
0,SPE151,7:13,11:56:00,19:09:00,False,4,2
0,SPE151,7:13,11:56:00,19:09:00,False,5,2
0,OFF,,,,False,6,2
0,SPE203,7:28,13:50:00,21:18:00,False,7,2
0,SPE117,6:00,13:30:00,19:30:00,False,8,2
0,SPE160,8:51,13:30:00,22:21:00,False,9,2
0,SPE160,8:51,13:30:00,22:21:00,False,10,2
0,SPE159,6:19,13:22:00,19:41:00,False,11,2
0,SPE159,6:19,13:22:00,19:41:00,False,12,2
0,OFF,,,,False,13,2
0,OFF,,,,False,14,2
0,OFF,,,,False,15,2
0,OFF,,,,False,16,2
0,EDO,,,,False,17,2
0,SPE130,6:46,04:59:00,11:45:00,False,18,2
0,SPE130,6:46,04:59:00,11:45:00,False,19,2
0,SPE130,6:46,04:59:00,11:45:00,False,20,2
0,SPE187,6:06,06:24:00,12:30:00,False,21,2
0,SPE103,6:00,06:24:00,12:24:00,False,22,2
0,OFF,,,,False,23,2
0,OFF,,,,False,24,2
0,SPE148,9:23,11:24:00,20:47:00,False,25,2
0,SPE169,6:01,15:32:00,21:33:00,False,26,2
0,SPE168,8:25,15:28:00,23:53:00,False,27,2
0,SPE205,8:38,15:32:00,00:10:00,False,28,2
0,SPER103,5:44,18:02:00,23:46:00,False,1,3
0,SPEX114,6:32,13:05:00,19:37:00,True,2,3
0,OFF,,,,False,3,3
0,SPE154,8:18,12:39:00,20:57:00,False,4,3
0,SPE154,8:18,12:39:00,20:57:00,False,5,3
0,SPE154,8:18,12:39:00,20:57:00,False,6,3
0,OFF,,,,False,7,3
0,OFF,,,,False,8,3
0,SPE174,7:48,16:15:00,00:03:00,False,9,3
0,SPE174,7:48,16:15:00,00:03:00,False,10,3
0,SPE174,7:48,16:15:00,00:03:00,False,11,3
0,SPE177,6:06,16:23:00,22:29:00,False,12,3
0,SPE177,6:06,16:23:00,22:29:00,False,13,3
